,PID,CCName,Lat,Lon,latitude,longitude,distance
16948,893,CC1,30.58141743599776,-96.27354916400223,29.946137,-93.924732,146.8784114443346
16949,893,CC2,29.94163953599776,-95.62146636400223,29.946137,-93.924732,101.5838215417943
16950,893,CC3,29.57231623599776,-98.66450816400224,29.946137,-93.924732,285.44791975229003
16951,893,CC4,33.01436533599776,-96.91406716400223,29.946137,-93.924732,275.5917072163752
16952,893,CC5,32.90621253599776,-97.24508146400224,29.946137,-93.924732,283.0741409786719
16953,893,CC6,30.317991435997758,-95.54625956400224,29.946137,-93.924732,100.24469621947839
16954,893,CC7,30.40097953599776,-97.60847516400224,29.946137,-93.924732,222.25866242380204
16955,893,CC8,30.256567935997758,-97.86651526400223,29.946137,-93.924732,236.58389252863444
16956,893,CC9,33.494254235997765,-94.10303056400224,29.946137,-93.924732,245.37527056020866
16957,893,CC10,29.98764483599776,-94.00640206400223,29.946137,-93.924732,5.667655582498626
16958,893,CC11,32.66487923599776,-97.18582756400224,29.946137,-93.924732,268.9450937464238
16959,893,CC12,30.165192835997757,-97.84980756400223,29.946137,-93.924732,235.20722765126388
16960,893,CC13,33.060500835997765,-97.01219376400223,29.946137,-93.924732,281.7174177948397
16961,893,CC14,33.214847035997764,-96.71342586400223,29.946137,-93.924732,279.16528061576133
16962,893,CC15,29.519389635997758,-95.42682336400223,29.946137,-93.924732,94.8210414722308
16963,893,CC16,32.62743383599776,-96.85587306400224,29.946137,-93.924732,253.49891501514304
16964,893,CC17,31.61238243599776,-94.64591756400223,29.946137,-93.924732,122.82751951755864
16965,893,CC18,32.917913235997766,-97.20241866400224,29.946137,-93.924732,281.92132320505664
16966,893,CC19,31.947098935997758,-106.43302206400223,29.946137,-93.924732,753.5356252809049
16967,894,CC1,30.58141743599776,-96.27354916400223,32.76335822809925,-94.34450624590664,188.6567523823219
16968,894,CC2,29.94163953599776,-95.62146636400223,32.76335822809925,-94.34450624590664,209.0092401237376
16969,894,CC3,29.57231623599776,-98.66450816400224,32.76335822809925,-94.34450624590664,337.3373069656178
16970,894,CC4,33.01436533599776,-96.91406716400223,32.76335822809925,-94.34450624590664,150.08608110942
16971,894,CC5,32.90621253599776,-97.24508146400224,32.76335822809925,-94.34450624590664,168.67621911039748
16972,894,CC6,30.317991435997758,-95.54625956400224,32.76335822809925,-94.34450624590664,183.1756357730284
16973,894,CC7,30.40097953599776,-97.60847516400224,32.76335822809925,-94.34450624590664,252.06638025251866
16974,894,CC8,30.256567935997758,-97.86651526400223,32.76335822809925,-94.34450624590664,270.2276023645591
16975,894,CC9,33.494254235997765,-94.10303056400224,32.76335822809925,-94.34450624590664,52.3973088360294
16976,894,CC10,29.98764483599776,-94.00640206400223,32.76335822809925,-94.34450624590664,192.817414216924
16977,894,CC11,32.66487923599776,-97.18582756400224,32.76335822809925,-94.34450624590664,165.3115076582186
16978,894,CC12,30.165192835997757,-97.84980756400223,32.76335822809925,-94.34450624590664,273.6480243677138
16979,894,CC13,33.060500835997765,-97.01219376400223,32.76335822809925,-94.34450624590664,156.08917802778336
16980,894,CC14,33.214847035997764,-96.71342586400223,32.76335822809925,-94.34450624590664,140.78371747546606
16981,894,CC15,29.519389635997758,-95.42682336400223,32.76335822809925,-94.34450624590664,233.0914146321821
16982,894,CC16,32.62743383599776,-96.85587306400224,32.76335822809925,-94.34450624590664,146.32378914402693
16983,894,CC17,31.61238243599776,-94.64591756400223,32.76335822809925,-94.34450624590664,81.45435794168748
16984,894,CC18,32.917913235997766,-97.20241866400224,32.76335822809925,-94.34450624590664,166.24301400739407
16985,894,CC19,31.947098935997758,-106.43302206400223,32.76335822809925,-94.34450624590664,707.425951027415
16986,895,CC1,30.58141743599776,-96.27354916400223,30.069048744986386,-94.80002240452538,94.74190627813076
16987,895,CC2,29.94163953599776,-95.62146636400223,30.069048744986386,-94.80002240452538,49.93182522843677
16988,895,CC3,29.57231623599776,-98.66450816400224,30.069048744986386,-94.80002240452538,234.17106139306048
16989,895,CC4,33.01436533599776,-96.91406716400223,30.069048744986386,-94.80002240452538,238.54190120337327
16990,895,CC5,32.90621253599776,-97.24508146400224,30.069048744986386,-94.80002240452538,243.25188231753137
16991,895,CC6,30.317991435997758,-95.54625956400224,30.069048744986386,-94.80002240452538,47.7689972853855
16992,895,CC7,30.40097953599776,-97.60847516400224,30.069048744986386,-94.80002240452538,169.20578438045254
16993,895,CC8,30.256567935997758,-97.86651526400223,30.069048744986386,-94.80002240452538,183.6388620216493
16994,895,CC9,33.494254235997765,-94.10303056400224,30.069048744986386,-94.80002240452538,240.17141704989132
16995,895,CC10,29.98764483599776,-94.00640206400223,30.069048744986386,-94.80002240452538,47.80593494912059
16996,895,CC11,32.66487923599776,-97.18582756400224,30.069048744986386,-94.80002240452538,227.9720586210694
16997,895,CC12,30.165192835997757,-97.84980756400223,30.069048744986386,-94.80002240452538,182.38875279799015
16998,895,CC13,33.060500835997765,-97.01219376400223,30.069048744986386,-94.80002240452538,244.2792954050308
16999,895,CC14,33.214847035997764,-96.71342586400223,30.069048744986386,-94.80002240452538,244.75141576208043
17000,895,CC15,29.519389635997758,-95.42682336400223,30.069048744986386,-94.80002240452538,53.43021362296755
17001,895,CC16,32.62743383599776,-96.85587306400224,30.069048744986386,-94.80002240452538,214.37657624028913
17002,895,CC17,31.61238243599776,-94.64591756400223,30.069048744986386,-94.80002240452538,107.02532271172997
17003,895,CC18,32.917913235997766,-97.20241866400224,30.069048744986386,-94.80002240452538,242.42307575028545
17004,895,CC19,31.947098935997758,-106.43302206400223,30.069048744986386,-94.80002240452538,700.643254722922
17005,896,CC1,30.58141743599776,-96.27354916400223,32.770342808657546,-94.35862384644467,188.54322743065038
